ENSG	GeneName	chr	GeneStart	GeneEnd	NCBI	HGNC	partition	omim
ENSG00000183876	ARSI	5	150296343	150339307	340075	HGNC:32521	10	
ENSG00000185955	SPACDR	7	100456620	100464260	402573	HGNC:22135	9	
ENSG00000144837	PLA1A	3	119597875	119629811	51365	HGNC:17661	5	
ENSG00000164124	TMEM144	4	158201604	158255416	55314	HGNC:25633	8	
ENSG00000183978	COA3	17	42795147	42798704	28958	HGNC:24990	6	mmdg
ENSG00000139144	PIK3C2G	12	18242961	18648416	5288	HGNC:8973	6	
ENSG00000178301	AQP11	11	77589391	77610356	282679	HGNC:19940	6	
ENSG00000087495	PHACTR3	20	59577509	59847711	116154	HGNC:15833	9	
ENSG00000156675	RAB11FIP1	8	37858618	37899497	80223	HGNC:30265	4	
ENSG00000146856	AGBL3	7	134986508	135147963	340351	HGNC:27981	7	
ENSG00000182255	KCNA4	11	30009730	30017030	3739	HGNC:6222	9	mmdg
ENSG00000173302	GPR148	2	130729070	130730336	344561	HGNC:23623	4	
ENSG00000164023	SGMS2	4	107824563	107915047	166929	HGNC:28395	8	mmdg
ENSG00000259305	ZHX1-C8orf76	8	123226189	123274284	100533106	HGNC:42975	5	
ENSG00000186910	SERPINA11	14	94442464	94452800	256394	HGNC:19193	8	
ENSG00000126860	EVI2A	17	31316410	31321749	2123	HGNC:3499	7	
ENSG00000239713	APOBEC3G	22	39077067	39087743	60489	HGNC:17357	7	
ENSG00000165810	BTNL9	5	181040225	181061521	153579	HGNC:24176	8	
ENSG00000171476	HOPX	4	56647989	56681877	84525	HGNC:24961	3	
ENSG00000105088	OLFM2	19	9853718	9936515	93145	HGNC:17189	8	
ENSG00000187778	MCRS1	12	49556544	49568145	10445	HGNC:6960	10	
ENSG00000124356	STAMBP	2	73828916	73873659	10617	HGNC:16950	10	mmdg
ENSG00000021776	AQR	15	34851782	34969742	9716	HGNC:29513	8	
ENSG00000135525	MAP7	6	136342281	136550819	9053	HGNC:6869	1	
ENSG00000148399	DPH7	9	137554444	137578925	92715	HGNC:25199	4	
ENSG00000244057	LCE3C	1	152600234	152601086	353144	HGNC:16612	6	
ENSG00000292339	ASMTL	Y	1403139	1453762	8623	HGNC:751	1	
ENSG00000137726	FXYD6	11	117836976	117877486	53826	HGNC:4030	10	
ENSG00000171680	PLEKHG5	1	6467122	6520074	57449	HGNC:29105	8	mmdg
ENSG00000111335	OAS2	12	112978395	113011723	4939	HGNC:8087	1	
ENSG00000170786	SDR16C5	8	56300005	56320776	195814	HGNC:30311	3	
ENSG00000112053	SLC26A8	6	35943516	36024868	116369	HGNC:14468	4	mmdg
ENSG00000180340	FZD2	17	44557484	44561262	2535	HGNC:4040	3	mmdg
ENSG00000057657	PRDM1	6	105993463	106109939	639	HGNC:9346	1	
ENSG00000147256	ARHGAP36	X	131058346	131089885	158763	HGNC:26388	8	
ENSG00000243749	TMEM35B	1	34981380	34985347	100506144	HGNC:40021	1	
ENSG00000121903	ZSCAN20	1	33472645	33501643	7579	HGNC:13093	3	
ENSG00000107036	RIC1	9	5629025	5776557	57589	HGNC:17686	8	mmdg
ENSG00000005156	LIG3	17	34980512	35009743	3980	HGNC:6600	5	mmdg
ENSG00000164089	ETNPPL	4	108742048	108763054	64850	HGNC:14404	7	
ENSG00000181035	SLC25A42	19	19063994	19113030	284439	HGNC:28380	9	mmdg
ENSG00000273514	FOXD4L6	9	41126435	41128681	653404	HGNC:31986	2	
ENSG00000023318	ERP44	9	99979185	100099052	23071	HGNC:18311	5	
ENSG00000197119	SLC25A29	14	100291116	100306547	123096	HGNC:20116	10	
ENSG00000160785	SLC25A44	1	156193932	156212796	9673	HGNC:29036	7	
ENSG00000167113	COQ4	9	128322544	128334072	51117	HGNC:19693	1	mmdg
ENSG00000121988	ZRANB3	2	135136916	135531218	84083	HGNC:25249	2	
ENSG00000168899	VAMP5	2	85584431	85593406	10791	HGNC:12646	7	
ENSG00000121766	ZCCHC17	1	31296982	31364953	51538	HGNC:30246	3	
ENSG00000213337	ANKRD39	2	96836611	96858016	51239	HGNC:28640	4	
ENSG00000106327	TFR2	7	100620416	100642779	7036	HGNC:11762	8	mmdg
ENSG00000285607	FAM90A9	8	7761330	7764340	441327	HGNC:32257	10	
ENSG00000186207	LCE5A	1	152510803	152512177	254910	HGNC:16614	2	
ENSG00000154079	SDHAF4	6	70566917	70589569	135154	HGNC:20957	8	
ENSG00000109424	UCP1	4	140559431	140568961	7350	HGNC:12517	7	
ENSG00000116661	FBXO2	1	11637018	11655785	26232	HGNC:13581	5	
ENSG00000146090	RASGEF1C	5	180100795	180209211	255426	HGNC:27400	8	
ENSG00000152422	XRCC4	5	83077498	83353787	7518	HGNC:12831	2	mmdg
ENSG00000159905	ZNF221	19	43951223	43967709	7638	HGNC:13014	3	
ENSG00000108700	CCL8	17	34319435	34321402	6355	HGNC:10635	5	
ENSG00000160282	FTCD	21	46136160	46155579	10841	HGNC:3974	2	mmdg
ENSG00000138769	CDKL2	4	75576496	75630716	8999	HGNC:1782	1	
ENSG00000163346	PBXIP1	1	154944076	154956123	57326	HGNC:21199	5	
ENSG00000105370	LIM2	19	51379909	51387974	3982	HGNC:6610	10	mmdg
ENSG00000128578	STRIP2	7	129434432	129488399	57464	HGNC:22209	10	
ENSG00000151413	NUBPL	14	31489956	31861224	80224	HGNC:20278	7	mmdg
ENSG00000170522	ELOVL6	4	110045846	110199199	79071	HGNC:15829	4	
ENSG00000154479	CFAP210	2	169645425	169694405	129881	HGNC:25064	9	
ENSG00000120802	TMPO	12	98515579	98550351	7112	HGNC:11875	3	
ENSG00000104901	DKKL1	19	49361783	49375116	27120	HGNC:16528	8	
ENSG00000132465	JCHAIN	4	70655541	70681817	3512	HGNC:5713	3	
ENSG00000132958	TPTE2	13	19422876	19561625	93492	HGNC:17299	1	
ENSG00000166948	TGM6	20	2380901	2432753	343641	HGNC:16255	2	mmdg
ENSG00000138386	NAB1	2	190646746	190692766	4664	HGNC:7626	1	
ENSG00000166016	ABTB2	11	34150987	34358010	25841	HGNC:23842	10	
ENSG00000232653	GOLGA8N	15	32593456	32607310	643699	HGNC:44405	1	
ENSG00000228570	NUTM2E	10	79826739	79850878	283008	HGNC:23448	9	
ENSG00000136155	SCEL	13	77535674	77645263	8796	HGNC:10573	7	
ENSG00000268089	GABRQ	X	152637895	152657542	55879	HGNC:14454	10	
ENSG00000107290	SETX	9	132261356	132354986	23064	HGNC:445	8	mmdg
ENSG00000189114	BLOC1S3	19	45178784	45216933	388552	HGNC:20914	9	mmdg
ENSG00000186376	ZNF75D	X	135248920	135344109	7626	HGNC:13145	5	
ENSG00000070985	TRPM5	11	2404515	2444514	29850	HGNC:14323	4	
ENSG00000140830	TXNL4B	16	72044289	72094431	54957	HGNC:26041	5	
ENSG00000115526	CHST10	2	100391860	100417668	9486	HGNC:19650	7	
ENSG00000136478	TEX2	17	64147227	64263260	55852	HGNC:30884	4	
ENSG00000214866	DCDC2C	2	3703575	3848008	728597	HGNC:32696	3	
ENSG00000188976	NOC2L	1	944203	959309	26155	HGNC:24517	5	
ENSG00000141543	EIF4A3	17	80134369	80147151	9775	HGNC:18683	1	mmdg
ENSG00000224982	TMEM233	12	119593774	119643075	387890	HGNC:37219	2	
ENSG00000278311	GGNBP2	17	36544912	36589848	79893	HGNC:19357	5	
ENSG00000110713	NUP98	11	3671083	3797792	4928	HGNC:8068	5	
ENSG00000165895	ARHGAP42	11	100687288	100993941	143872	HGNC:26545	2	
ENSG00000177030	DEAF1	11	644233	707118	10522	HGNC:14677	3	mmdg
ENSG00000187175	KRTAP12-1	21	44681576	44682163	353332	HGNC:20529	3	
ENSG00000168067	MAP4K2	11	64784918	64803241	5871	HGNC:6864	6	
ENSG00000099290	WASHC2A	10	50067888	50133509	387680	HGNC:23416	4	
ENSG00000112406	HECA	6	139135080	139180802	51696	HGNC:21041	5	
ENSG00000169777	TAS2R1	5	9627347	9712378	50834	HGNC:14909	7	
ENSG00000136819	C9orf78	9	129827290	129835863	51759	HGNC:24932	3	
ENSG00000102048	ASB9	X	15235288	15270467	140462	HGNC:17184	9	
ENSG00000103226	NOMO3	16	16232506	16300806	408050	HGNC:25242	7	
ENSG00000131264	CDX4	X	73447053	73455171	1046	HGNC:1808	7	
ENSG00000100906	NFKBIA	14	35401079	35404749	4792	HGNC:7797	3	mmdg
ENSG00000182798	MAGEB17	X	16167481	16171464	645864	HGNC:17418	8	
ENSG00000038295	TLL1	4	165873237	166104457	7092	HGNC:11843	1	mmdg
ENSG00000258484	SPESP1	15	68818221	68946811	246777	HGNC:15570	9	
ENSG00000077080	ACTL6B	7	100643097	100656448	51412	HGNC:160	9	mmdg
ENSG00000165807	PPP1R36	14	64549920	64589381	145376	HGNC:20097	3	
ENSG00000166257	SCN3B	11	123629187	123655244	55800	HGNC:20665	10	mmdg
ENSG00000109787	KLF3	4	38664197	38701517	51274	HGNC:16516	9	
ENSG00000168702	LRP1B	2	140231423	142131016	53353	HGNC:6693	8	
ENSG00000085552	IGSF9	1	159927039	159945613	57549	HGNC:18132	1	
ENSG00000235961	PNMA6A	X	153072454	153075019	84968	HGNC:28248	3	
ENSG00000269955	FMC1-LUC7L2	7	139341360	139422599	100996928	HGNC:44671	9	
ENSG00000088325	TPX2	20	31739271	31801805	22974	HGNC:1249	1	
ENSG00000128891	CCDC32	15	40528683	40565054	90416	HGNC:28295	7	mmdg
ENSG00000116726	PRAMEF12	1	12773738	12777906	390999	HGNC:22125	10	
ENSG00000170962	PDGFD	11	103907189	104164379	80310	HGNC:30620	7	
ENSG00000084090	STARD7	2	96184859	96208827	56910	HGNC:18063	5	mmdg
ENSG00000164611	PTTG1	5	160421855	160428739	9232	HGNC:9690	1	
ENSG00000149243	KLHL35	11	75422394	75433203	283212	HGNC:26597	1	
ENSG00000125966	MMP24	20	35226690	35276998	10893	HGNC:7172	4	
ENSG00000127580	WDR24	16	684622	690444	84219	HGNC:20852	6	
ENSG00000173421	IHO1	3	49198428	49258106	339834	HGNC:27945	1	
ENSG00000198417	MT1F	16	56657731	56660698	4494	HGNC:7398	10	
ENSG00000006047	YBX2	17	7288263	7294639	51087	HGNC:17948	10	
ENSG00000187581	COX8C	14	93347182	93348356	341947	HGNC:24382	5	
ENSG00000127423	AUNIP	1	25831913	25859458	79000	HGNC:28363	7	
ENSG00000152056	AP1S3	2	223667680	223838027	130340	HGNC:18971	1	cmdg
ENSG00000214309	MBLAC1	7	100126785	100128495	255374	HGNC:22180	8	
ENSG00000086205	FOLH1	11	49145092	49208638	2346	HGNC:3788	1	
ENSG00000162434	JAK1	1	64833223	65067754	3716	HGNC:6190	10	mmdg
ENSG00000124641	MED20	6	41905354	41921139	9477	HGNC:16840	10	
ENSG00000165623	UCMA	10	13221766	13234374	221044	HGNC:25205	4	
ENSG00000141349	G6PC3	17	44070620	44082151	92579	HGNC:24861	10	mmdg
ENSG00000197599	CCDC154	16	1434383	1444556	645811	HGNC:34454	9	
ENSG00000189227	C15orf61	15	67521131	67530146	145853	HGNC:34453	10	
ENSG00000134644	PUM1	1	30931506	31065991	9698	HGNC:14957	3	mmdg
ENSG00000113384	GOLPH3	5	32124716	32174319	64083	HGNC:15452	5	
ENSG00000118363	SPCS2	11	74949261	74979033	9789	HGNC:28962	4	
ENSG00000066855	MTFR1	8	65644734	65771261	9650	HGNC:29510	8	
ENSG00000100985	MMP9	20	46008908	46016561	4318	HGNC:7176	9	mmdg
ENSG00000143001	TMEM61	1	54980628	54992288	199964	HGNC:27296	3	
ENSG00000100196	KDELR3	22	38468078	38483447	11015	HGNC:6306	2	
ENSG00000273703	H2BC14	6	27815022	27815489	8342	HGNC:4750	2	
ENSG00000184787	UBE2G2	21	44768580	44801826	7327	HGNC:12483	5	
ENSG00000176679	TGIF2LY	Y	3579067	3580041	90655	HGNC:18569	10	
ENSG00000157869	RAB28	4	13361354	13484365	9364	HGNC:9768	7	mmdg
ENSG00000153294	ADGRF4	6	47685864	47722021	221393	HGNC:19011	7	
ENSG00000126787	DLGAP5	14	55148112	55191608	9787	HGNC:16864	9	
ENSG00000108733	PEX12	17	35574795	35578863	5193	HGNC:8854	9	mmdg
ENSG00000179965	ZNF771	16	30407414	30431108	51333	HGNC:29653	7	
ENSG00000120913	PDLIM2	8	22578279	22598025	64236	HGNC:13992	8	
ENSG00000139540	SLC39A5	12	56230049	56237846	283375	HGNC:20502	2	mmdg
ENSG00000071051	NCK2	2	105744912	105894274	8440	HGNC:7665	2	
ENSG00000175857	GAPT	5	58491435	58497090	202309	HGNC:26588	3	
ENSG00000119125	GDA	9	72114595	72257193	9615	HGNC:4212	1	
ENSG00000188996	HUS1B	6	655939	657100	135458	HGNC:16485	8	
ENSG00000157107	FCHO2	5	72956041	73090522	115548	HGNC:25180	7	
ENSG00000091317	CMTM6	3	32481312	32502852	54918	HGNC:19177	6	
ENSG00000161031	PGLYRP2	19	15468645	15498956	114770	HGNC:30013	9	
ENSG00000153956	CACNA2D1	7	81946444	82443956	781	HGNC:1399	6	mmdg
ENSG00000099849	RASSF7	11	560404	564025	8045	HGNC:1166	6	
ENSG00000174137	FAM53A	4	1617915	1684313	152877	HGNC:31860	5	
ENSG00000119185	ITGB1BP1	2	9403475	9423528	9270	HGNC:23927	10	
ENSG00000206535	LNP1	3	100401532	100456319	348801	HGNC:28014	1	
ENSG00000198300	PEG3	19	56810077	56840728	5178	HGNC:8826	9	
ENSG00000075702	WDR62	19	36054649	36105108	284403	HGNC:24502	10	mmdg
ENSG00000103326	CAPN15	16	527712	554636	6650	HGNC:11182	2	mmdg
ENSG00000137875	BCL2L10	15	52109263	52112775	10017	HGNC:993	8	
ENSG00000148297	MED22	9	133338312	133348131	6837	HGNC:11477	3	
ENSG00000171735	CAMTA1	1	6785454	7769706	23261	HGNC:18806	9	mmdg
ENSG00000154493	C10orf90	10	126424997	126798708	118611	HGNC:26563	1	
ENSG00000139370	SLC15A4	12	128793194	128823958	121260	HGNC:23090	10	
ENSG00000137216	TMEM63B	6	44126914	44155519	55362	HGNC:17735	6	
ENSG00000248919	ATP5MF-PTCD1	7	99419749	99466197	100526740	HGNC:38844	4	
ENSG00000126231	PROZ	13	113158648	113172386	8858	HGNC:9460	10	cmdg
ENSG00000166509	CLEC3A	16	78022515	78066761	10143	HGNC:2052	4	
ENSG00000125571	IL37	2	112911165	112918882	27178	HGNC:15563	4	mmdg
ENSG00000146830	GIGYF1	7	100679507	100694250	64599	HGNC:9126	8	
ENSG00000142185	TRPM2	21	44350163	44443081	7226	HGNC:12339	7	
ENSG00000147044	CASK	X	41514934	41923554	8573	HGNC:1497	3	mmdg
ENSG00000111605	CPSF6	12	69239569	69274358	11052	HGNC:13871	5	
ENSG00000059122	FLYWCH1	16	2911931	2951208	84256	HGNC:25404	2	
ENSG00000162972	MAIP1	2	199955317	200008540	79568	HGNC:26198	2	
ENSG00000110911	SLC11A2	12	50979401	51028566	4891	HGNC:10908	2	mmdg
ENSG00000244486	SCARF2	22	20424584	20437826	91179	HGNC:19869	6	mmdg
ENSG00000275718	CCL15	17	35996440	36001553	6359	HGNC:10613	2	
ENSG00000123901	GPR83	11	94377316	94401419	10888	HGNC:4523	5	
ENSG00000184898	RBM43	2	151247940	151261863	375287	HGNC:24790	6	
ENSG00000137757	CASP5	11	104994235	105023168	838	HGNC:1506	1	
ENSG00000014641	MDH1	2	63588609	63607197	4190	HGNC:6970	1	mmdg
ENSG00000184702	SEPTIN5	22	19714503	19724224	5413	HGNC:9164	5	
ENSG00000167311	ART5	11	3638512	3642316	116969	HGNC:24049	2	
ENSG00000122224	LY9	1	160796074	160828261	4063	HGNC:6730	4	
ENSG00000164871	SPAG11B	8	7442684	7463674	10407	HGNC:14534	5	
ENSG00000008130	NADK	1	1751232	1780457	65220	HGNC:29831	7	
ENSG00000065457	ADAT1	16	75596868	75623300	23536	HGNC:228	4	
ENSG00000182854	OR4F15	15	101812202	101820197	390649	HGNC:15078	8	
ENSG00000127054	INTS11	1	1311585	1324687	54973	HGNC:26052	4	mmdg
ENSG00000165322	ARHGAP12	10	31805398	31928876	94134	HGNC:16348	4	
ENSG00000145362	ANK2	4	112818032	113384221	287	HGNC:493	3	mmdg
ENSG00000146215	CRIP3	6	43299710	43308826	401262	HGNC:17751	4	
ENSG00000281991	TMEM265	16	30740642	30745196	100862671	HGNC:51241	9	
ENSG00000084093	REST	4	56907876	56966808	5978	HGNC:9966	7	cmdg, mmdg
ENSG00000187080	OR2AK2	1	247965233	247966386	391191	HGNC:19569	9	
ENSG00000138792	ENPEP	4	110365733	110565285	2028	HGNC:3355	5	
ENSG00000166578	IQCD	12	113195441	113221094	115811	HGNC:25168	7	
ENSG00000167861	HID1	17	74950742	74973166	283987	HGNC:15736	1	mmdg
ENSG00000137200	CMTR1	6	37433219	37482827	23070	HGNC:21077	9	
ENSG00000140379	BCL2A1	15	79960892	79971196	597	HGNC:991	1	
ENSG00000182732	RGS6	14	71932429	72566530	9628	HGNC:10002	1	
ENSG00000163705	FANCD2OS	3	10081317	10108255	115795	HGNC:28623	5	
ENSG00000078795	PKD2L2	5	137887968	137942747	27039	HGNC:9012	3	
ENSG00000169213	RAB3B	1	51907956	51990700	5865	HGNC:9778	5	
ENSG00000107625	DDX50	10	68901286	68946847	79009	HGNC:17906	2	
ENSG00000278662	GOLGA6L10	15	82339993	82349475	647042	HGNC:37228	3	
ENSG00000163131	CTSS	1	150730079	150765957	1520	HGNC:2545	6	
ENSG00000105220	GPI	19	34359480	34402413	2821	HGNC:4458	8	mmdg
ENSG00000175175	PPM1E	17	58755854	58985179	22843	HGNC:19322	9	
ENSG00000156482	RPL30	8	98024851	98046469	6156	HGNC:10333	10	
ENSG00000162849	KIF26B	1	245154985	245709432	55083	HGNC:25484	7	
ENSG00000173597	SULT1B1	4	69721167	69787961	27284	HGNC:17845	7	
ENSG00000269096	CT45A3	X	135759846	135768191	441519	HGNC:33268	2	
ENSG00000205301	MGAT4D	4	140442262	140498377	152586	HGNC:43619	5	
ENSG00000134240	HMGCS2	1	119748002	119768905	3158	HGNC:5008	10	mmdg
ENSG00000213085	CFAP45	1	159872364	159900165	25790	HGNC:17229	8	mmdg
ENSG00000138413	IDH1	2	208236229	208266074	3417	HGNC:5382	8	non_mdg
ENSG00000162736	NCSTN	1	160343294	160358952	23385	HGNC:17091	5	mmdg
ENSG00000105983	LMBR1	7	156668946	156893216	64327	HGNC:13243	10	mmdg
ENSG00000154059	IMPACT	18	24426634	24453531	55364	HGNC:20387	9	
ENSG00000132300	PTCD3	2	86106223	86142157	55037	HGNC:24717	7	mmdg
ENSG00000128298	BAIAP2L2	22	38084652	38111015	80115	HGNC:26203	6	
